user_id,course_id,label
0,0,1
0,1,1
0,2,0
0,3,0
0,4,0
1,3,1
1,5,0
1,4,1
1,6,0
1,7,0
2,8,1
2,4,1
2,9,0
2,3,0
2,10,0
2,11,0
3,12,0
3,13,1
4,14,1
4,15,1
4,16,0
4,17,0
5,18,1
5,19,0
5,20,0
5,5,1
5,21,1
5,22,0
5,23,0
5,24,0
6,25,0
6,26,0
6,27,1
6,28,0
6,29,0
6,30,0
6,31,1
6,4,0
6,32,1
6,33,1
6,34,0
7,3,0
7,32,0
7,6,1
7,4,1
7,8,0
8,35,1
8,36,0
8,10,0
8,3,0
9,11,1
9,37,1
9,38,1
9,39,0
9,40,0
9,41,0
9,5,0
10,42,1
10,43,0
10,44,0
10,5,0
11,45,1
11,34,0
11,3,0
11,46,0
11,47,0
11,48,0
12,49,1
12,9,0
12,4,0
12,50,0
12,32,0
13,51,1
13,52,0
13,53,1
13,6,0
14,4,1
14,54,0
14,5,0
14,55,0
15,56,0
15,31,0
15,57,1
15,11,0
15,58,0
15,59,1
15,34,0
15,60,1
15,27,0
15,61,0
15,62,0
15,63,0
15,64,0
16,5,0
16,65,0
16,48,1
16,66,0
16,67,1
16,2,0
16,13,0
17,68,0
17,69,0
18,11,1
18,52,1
18,34,0
18,47,0
19,70,0
19,71,1
19,72,0
19,73,0
19,74,1
19,75,0
19,76,0
19,77,0
19,78,0
20,47,0
20,32,0
20,52,0
20,4,1
20,66,1
20,18,1
20,79,0
21,80,0
21,81,1
21,82,0
21,83,1
22,8,1
22,4,1
22,84,0
22,85,0
23,64,0
23,86,1
23,87,0
24,88,1
24,40,1
24,17,0
24,13,0
25,49,0
25,9,1
25,13,0
26,8,1
26,4,1
26,89,0
26,9,1
26,66,0
26,90,0
27,4,0
27,29,0
27,16,1
27,8,0
27,91,0
27,9,0
28,3,1
28,92,0
28,49,1
28,83,0
28,93,0
28,66,0
29,10,1
29,3,1
29,2,0
29,9,0
29,94,0
29,50,0
29,4,0
30,5,1
30,95,1
30,96,1
